name,team,position
Bukayo Saka,Arsenal,Forward
Martin Odegaard,Arsenal,Midfielder
Declan Rice,Arsenal,Midfielder
Erling Haaland,Man City,Forward
Kevin De Bruyne,Man City,Midfielder
Mohamed Salah,Liverpool,Forward
Bruno Fernandes,Man United,Midfielder
Son Heung-min,Tottenham,Forward
Ollie Watkins,Aston Villa,Forward
Cole Palmer,Chelsea,Midfielder
